experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,B2,5,850511982,16,2,14,7,7,invalid_mapping,2,14,4,0,unsat,False,300.0,0.220966417,0.004699458,0,0,0,20713664,737,98
permutation_survival,C,5,850511982,16,2,14,7,7,base,,,,,sat,False,300.0,0.118313959,0.023758084,1071,393,24366,20874482,512,98
permutation_survival,C,5,850511982,16,2,14,7,7,invalid_mapping,0,5,13,12,unsat,False,300.0,0.117896666,0.026882417,847,516,35947,21050064,513,98
permutation_survival,C,5,850511982,16,2,14,7,7,invalid_mapping,1,0,2,4,unsat,False,300.0,0.118446375,0.027726708,1303,563,38322,21231106,513,98
permutation_survival,C,5,850511982,16,2,14,7,7,invalid_mapping,2,14,4,0,unsat,False,300.0,0.116891250,0.027419875,1380,438,31841,21408888,513,98
permutation_survival,A,6,1497543242,16,2,14,7,7,base,,,,,sat,False,300.0,0.238776875,0.031231458,481,142,13287,21645338,736,196
permutation_survival,A,6,1497543242,16,2,14,7,7,invalid_mapping,0,1,10,3,unsat,False,300.0,0.239807083,0.036044833,617,255,21793,21903843,737,196
permutation_survival,A,6,1497543242,16,2,14,7,7,invalid_mapping,1,5,4,0,unsat,False,300.0,0.240720292,0.011073917,0,0,0,22040765,737,196
permutation_survival,A,6,1497543242,16,2,14,7,7,invalid_mapping,2,6,7,13,unsat,False,300.0,0.239564375,0.030284792,231,44,3463,22262314,737,196
permutation_survival,B1,6,1497543242,16,2,14,7,7,base,,,,,sat,False,300.0,0.257085667,0.044805042,1167,424,48832,22567067,736,196
permutation_survival,B1,6,1497543242,16,2,14,7,7,invalid_mapping,0,1,10,3,unsat,False,300.0,0.258082292,0.031555791,211,74,5208,22805081,737,196
permutation_survival,B1,6,1497543242,16,2,14,7,7,invalid_mapping,1,5,4,0,unsat,False,300.0,0.256629584,0.011768250,0,0,0,22951118,737,196
permutation_survival,B1,6,1497543242,16,2,14,7,7,invalid_mapping,2,6,7,13,unsat,False,300.0,0.255240542,0.035188917,395,205,13868,23207781,737,196
permutation_survival,B2,6,1497543242,16,2,14,7,7,base,,,,,sat,False,300.0,0.228810458,0.013866083,1,0,18,23375634,736,98
permutation_survival,B2,6,1497543242,16,2,14,7,7,invalid_mapping,0,1,10,3,unsat,False,300.0,0.226623792,0.003370791,0,0,0,23400338,737,98
permutation_survival,B2,6,1497543242,16,2,14,7,7,invalid_mapping,1,5,4,0,unsat,False,300.0,0.227719542,0.003484833,0,0,0,23425252,737,98
permutation_survival,B2,6,1497543242,16,2,14,7,7,invalid_mapping,2,6,7,13,unsat,False,300.0,0.228056500,0.004050333,0,0,0,23454232,737,98
permutation_survival,C,6,1497543242,16,2,14,7,7,base,,,,,sat,False,300.0,0.116040417,0.033761500,2455,1056,58190,23665771,512,98
permutation_survival,C,6,1497543242,16,2,14,7,7,invalid_mapping,0,1,10,3,unsat,False,300.0,0.116928250,0.020394375,531,335,16519,23807636,513,98
permutation_survival,C,6,1497543242,16,2,14,7,7,invalid_mapping,1,5,4,0,unsat,False,300.0,0.116397375,0.026380083,1265,527,30682,23979752,513,98
permutation_survival,C,6,1497543242,16,2,14,7,7,invalid_mapping,2,6,7,13,unsat,False,300.0,0.117482666,0.026187042,894,499,37069,24152346,513,98
permutation_survival,A,7,347654343,16,2,14,7,7,base,,,,,sat,False,300.0,0.255334541,0.051285250,1870,786,100435,24501298,736,196
permutation_survival,A,7,347654343,16,2,14,7,7,invalid_mapping,0,12,3,4,unsat,False,300.0,0.252073666,0.064858416,1919,1092,159667,24917225,737,196
permutation_survival,A,7,347654343,16,2,14,7,7,invalid_mapping,1,4,11,7,unsat,False,300.0,0.252507042,0.004073958,0,0,0,24950825,737,196
permutation_survival,A,7,347654343,16,2,14,7,7,invalid_mapping,2,9,10,2,unsat,False,300.0,0.249201958,0.030308167,262,99,9793,25186296,737,196
permutation_survival,B1,7,347654343,16,2,14,7,7,base,,,,,sat,False,300.0,0.243411750,0.047285750,2311,895,74060,25501450,736,196
permutation_survival,B1,7,347654343,16,2,14,7,7,invalid_mapping,0,12,3,4,unsat,False,300.0,0.244155291,0.034770792,775,329,33513,25750087,737,196
permutation_survival,B1,7,347654343,16,2,14,7,7,invalid_mapping,1,4,11,7,unsat,False,300.0,0.244155334,0.003541958,0,0,0,25779891,737,196
permutation_survival,B1,7,347654343,16,2,14,7,7,invalid_mapping,2,9,10,2,unsat,False,300.0,0.241026000,0.030338500,536,218,17298,26001232,737,196
permutation_survival,B2,7,347654343,16,2,14,7,7,base,,,,,sat,False,300.0,0.225957042,0.014892459,4,2,868,26114663,736,98
permutation_survival,B2,7,347654343,16,2,14,7,7,invalid_mapping,0,12,3,4,unsat,False,300.0,0.224642417,0.014052125,3,2,129,26226976,737,98
permutation_survival,B2,7,347654343,16,2,14,7,7,invalid_mapping,1,4,11,7,unsat,False,300.0,0.226702375,0.002846625,0,0,0,26249272,737,98
permutation_survival,B2,7,347654343,16,2,14,7,7,invalid_mapping,2,9,10,2,unsat,False,300.0,0.225575375,0.002788708,0,0,0,26271094,737,98
permutation_survival,C,7,347654343,16,2,14,7,7,base,,,,,sat,False,300.0,0.121809667,0.068672916,5537,3075,202167,26693539,512,98
permutation_survival,C,7,347654343,16,2,14,7,7,invalid_mapping,0,12,3,4,unsat,False,300.0,0.123405834,0.002252042,0,0,0,26711709,513,98
permutation_survival,C,7,347654343,16,2,14,7,7,invalid_mapping,1,4,11,7,unsat,False,300.0,0.120665583,0.016003709,95,48,1835,26826975,513,98
permutation_survival,C,7,347654343,16,2,14,7,7,invalid_mapping,2,9,10,2,unsat,False,300.0,0.121154917,0.026026875,1236,462,25110,26997409,513,98
permutation_survival,A,8,1013955042,16,2,14,7,7,base,,,,,sat,False,300.0,0.254729834,0.050132875,1095,514,69072,27342790,736,196
permutation_survival,A,8,1013955042,16,2,14,7,7,invalid_mapping,0,1,10,13,unsat,False,300.0,0.254019208,0.006070042,0,0,0,27388700,737,196
permutation_survival,A,8,1013955042,16,2,14,7,7,invalid_mapping,1,7,6,15,unsat,False,300.0,0.312686166,0.010679542,0,0,0,27513700,737,196
permutation_survival,A,8,1013955042,16,2,14,7,7,invalid_mapping,2,3,10,8,unsat,False,300.0,0.254465792,0.042320833,783,332,39354,27818154,737,196
permutation_survival,B1,8,1013955042,16,2,14,7,7,base,,,,,sat,False,300.0,0.246284875,0.050648291,1432,669,75679,28138479,736,196
