problem,invariant,instance_id,seed,n,k,r,positive,accepted,runtime_seconds,status,timeout,memory_limited,error
pm_stb,linear_dependency,pm_stb-n5k1-s773-negative,773,5,1,4,False,True,0.0029407539404928684,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s773-negative,773,5,1,4,False,True,0.0018315509660169482,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s654-negative,654,5,1,4,False,True,0.00267546100076288,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s654-negative,654,5,1,4,False,True,0.0017838110215961933,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s438-negative,438,5,1,4,False,False,0.0031006960198283195,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s438-negative,438,5,1,4,False,False,0.0031027660006657243,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k1-s433-negative,433,5,1,4,False,True,0.002700462006032467,success,False,False,
pm_stb,signatures,pm_stb-n5k1-s433-negative,433,5,1,4,False,True,0.0016825099010020494,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s89-positive,89,5,2,3,True,True,0.002856913022696972,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s89-positive,89,5,2,3,True,True,0.0015706389676779509,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s773-positive,773,5,2,3,True,True,0.0021230150014162064,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s773-positive,773,5,2,3,True,True,0.0016735889948904514,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s654-positive,654,5,2,3,True,True,0.0017788310069590807,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s654-positive,654,5,2,3,True,True,0.0018092909594997764,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s438-positive,438,5,2,3,True,True,0.0020078839734196663,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s438-positive,438,5,2,3,True,True,0.001509027904830873,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s433-positive,433,5,2,3,True,True,0.0034935909789055586,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s433-positive,433,5,2,3,True,True,0.001963522983714938,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s89-negative,89,5,2,3,False,False,0.00218940491322428,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s89-negative,89,5,2,3,False,False,0.001625129021704197,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s773-negative,773,5,2,3,False,False,0.002173475921154022,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s773-negative,773,5,2,3,False,False,0.0016795890405774117,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s654-negative,654,5,2,3,False,True,0.0020674850093200803,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s654-negative,654,5,2,3,False,True,0.001828731968998909,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s438-negative,438,5,2,3,False,True,0.0023035469930619,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s438-negative,438,5,2,3,False,True,0.001512317918241024,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k2-s433-negative,433,5,2,3,False,True,0.0018016209360212088,success,False,False,
pm_stb,signatures,pm_stb-n5k2-s433-negative,433,5,2,3,False,True,0.0015978490700945258,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s89-positive,89,5,3,2,True,True,0.001983113936148584,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s89-positive,89,5,3,2,True,True,0.001734510064125061,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s773-positive,773,5,3,2,True,True,0.002984634949825704,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s773-positive,773,5,3,2,True,True,0.0015200080815702677,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s654-positive,654,5,3,2,True,True,0.00130109500605613,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s654-positive,654,5,3,2,True,True,0.0017440610099583864,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s438-positive,438,5,3,2,True,True,0.001544527942314744,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s438-positive,438,5,3,2,True,True,0.0013838459271937609,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s433-positive,433,5,3,2,True,True,0.0017704409547150135,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s433-positive,433,5,3,2,True,True,0.0018857920076698065,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s89-negative,89,5,3,2,False,True,0.0013425860088318586,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s89-negative,89,5,3,2,False,True,0.0024826599983498454,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s773-negative,773,5,3,2,False,False,0.001933312974870205,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s773-negative,773,5,3,2,False,False,0.001442536013200879,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s654-negative,654,5,3,2,False,True,0.0019026619847863913,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s654-negative,654,5,3,2,False,True,0.0014203869504854083,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s438-negative,438,5,3,2,False,True,0.0015429280465468764,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s438-negative,438,5,3,2,False,True,0.0015277679776772857,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k3-s433-negative,433,5,3,2,False,True,0.0018434820231050253,success,False,False,
pm_stb,signatures,pm_stb-n5k3-s433-negative,433,5,3,2,False,True,0.0018672019941732287,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s89-positive,89,5,4,1,True,True,0.0009848619811236858,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s89-positive,89,5,4,1,True,True,0.0011443039402365685,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s773-positive,773,5,4,1,True,True,0.0011443629628047347,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s773-positive,773,5,4,1,True,True,0.0011765239760279655,success,False,False,
pm_stb,linear_dependency,pm_stb-n5k4-s654-positive,654,5,4,1,True,True,0.0016861100448295474,success,False,False,
pm_stb,signatures,pm_stb-n5k4-s654-positive,654,5,4,1,True,True,0.0013387450017035007,success,False,False,
