problem,seed,n,k,r,x_rank,class_sizes,q_pairs,status,timeout,memory_limited,error
pm_css,654,11,8,3,1,7 4,0.5371900826446281,success,False,False,
pm_css,438,11,8,3,3,8 3,0.6033057851239669,success,False,False,
pm_css,433,11,8,3,1,4 3 2 2,0.2727272727272727,success,False,False,
pm_css,858,11,8,3,0,5 4 2,0.371900826446281,success,False,False,
pm_css,85,11,8,3,2,4 4 2 1,0.30578512396694213,success,False,False,
pm_css,697,11,8,3,3,6 3 2,0.4049586776859504,success,False,False,
pm_css,201,11,8,3,1,7 4,0.5371900826446281,success,False,False,
pm_css,94,11,8,3,0,6 5,0.5041322314049587,success,False,False,
pm_css,89,11,10,1,1,7 4,0.5371900826446281,success,False,False,
pm_css,773,11,10,1,1,6 5,0.5041322314049587,success,False,False,
pm_css,654,11,10,1,0,11,1.0,success,False,False,
pm_css,438,11,10,1,1,11,1.0,success,False,False,
pm_css,433,11,10,1,0,7 4,0.5371900826446281,success,False,False,
pm_css,858,11,10,1,0,11,1.0,success,False,False,
pm_css,85,11,10,1,1,6 5,0.5041322314049587,success,False,False,
pm_css,697,11,10,1,1,6 5,0.5041322314049587,success,False,False,
pm_css,201,11,10,1,0,11,1.0,success,False,False,
